n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
248,-,0.00600,0.00550,0.04900,0.04903,0.04900
249,-,0.00600,0.00550,0.04851,0.04950,0.04903
250,-,0.00550,0.00600,0.04900,0.04968,0.04850
251,-,0.00550,0.00550,0.04851,0.04800,0.04801
252,-,0.00600,0.00500,0.04850,0.04851,0.04850
253,-,0.00600,0.00550,0.04850,0.04900,0.04901
254,-,0.00550,0.00550,0.04801,0.04850,0.04901
255,-,0.00550,0.00600,0.04900,0.04901,0.04900
256,-,0.00550,0.00550,0.04801,0.04850,0.04901
257,-,0.00550,0.00550,0.04950,0.04901,0.04800
258,-,0.00600,0.00550,0.04851,0.04850,0.04851
259,-,0.00550,0.00602,0.04748,0.04901,0.04900
260,-,0.00550,0.00551,0.04850,0.04900,0.04952
261,-,0.00550,0.00550,0.04851,0.04950,0.04851
262,-,0.00550,0.00550,0.04900,0.04901,0.04900
263,-,0.00550,0.00550,0.04951,0.04950,0.04801
264,-,0.00550,0.00550,0.04850,0.04901,0.04850
265,-,0.00600,0.00550,0.04801,0.04900,0.04901
266,-,0.00550,0.00550,0.04850,0.04901,0.04900
267,-,0.00550,0.00551,0.04900,0.04852,0.04900
268,-,0.00600,0.00500,0.04901,0.05250,0.05001
269,-,0.00600,0.00550,0.05150,0.05051,0.05000
270,-,0.00550,0.00550,0.04851,0.04850,0.04851
271,-,0.00550,0.00550,0.04800,0.04901,0.04801
272,-,0.00550,0.00550,0.04851,0.04900,0.04951
273,-,0.00550,0.00550,0.04751,0.04800,0.04851
274,-,0.00550,0.00550,0.04850,0.04901,0.04850
275,-,0.00550,0.00550,0.04803,0.04800,0.04951
276,-,0.00550,0.00550,0.04950,0.04802,0.04900
277,-,0.00550,0.00550,0.04851,0.04900,0.04851
278,-,0.00550,0.00500,0.04850,0.04951,0.04800
279,-,0.00600,0.00500,0.04901,0.04800,0.04851
280,-,0.00600,0.00552,0.04799,0.04900,0.04901
281,-,0.00550,0.00550,0.04900,0.04902,0.04950
282,-,0.00550,0.00550,0.04801,0.05050,0.04901
283,-,0.00550,0.00550,0.04850,0.04901,0.04850
284,-,0.00550,0.00550,0.04800,0.04950,0.04859
285,-,0.00550,0.00550,0.04851,0.04801,0.04950
286,-,0.00550,0.00601,0.04800,0.04901,0.04901
287,-,0.00550,0.00550,0.05051,0.05200,0.05052
288,-,0.00600,0.00550,0.04950,0.05251,0.05150
289,-,0.00600,0.00550,0.05051,0.04801,0.04851
290,-,0.00600,0.00550,0.04850,0.04851,0.04901
291,-,0.00600,0.00501,0.04800,0.04851,0.04850
292,-,0.00550,0.00550,0.05102,0.05200,0.04851
293,-,0.00650,0.00500,0.04850,0.04801,0.04850
294,-,0.00550,0.00600,0.04851,0.04850,0.04901
295,-,0.00600,0.00501,0.04999,0.04954,0.04850
296,-,0.00552,0.00548,0.04901,0.04800,0.04801
297,-,0.00550,0.00550,0.04901,0.04900,0.04900
298,-,0.00551,0.00550,0.04850,0.04901,0.04900
299,-,0.00550,0.00550,0.04802,0.04850,0.04851
300,-,0.00650,0.00550,0.05100,0.05102,0.05050
301,-,0.00600,0.00601,0.05100,0.05000,0.04901
302,-,0.00550,0.00550,0.04801,0.04900,0.04950
303,-,0.00601,0.00501,0.04849,0.04903,0.04800
304,-,0.00550,0.00550,0.04901,0.04900,0.04851
305,-,0.00600,0.00550,0.05000,0.04951,0.04850
306,-,0.00550,0.00550,0.04851,0.04900,0.04901
307,-,0.00550,0.00550,0.04800,0.04851,0.05100
308,-,0.00601,0.00549,0.04851,0.04851,0.04801
309,-,0.00600,0.00550,0.04751,0.04900,0.04801
310,-,0.00601,0.00500,0.04850,0.04901,0.04850
311,-,0.00550,0.00550,0.04901,0.04900,0.04901
312,-,0.00550,0.00600,0.04800,0.04851,0.04900
313,-,0.00550,0.00550,0.04852,0.04800,0.04801
314,-,0.00600,0.00600,0.04900,0.04901,0.04900
315,-,0.00600,0.00500,0.04801,0.04950,0.04801
316,-,0.00550,0.00550,0.04851,0.04800,0.04901
317,-,0.00600,0.00550,0.04900,0.04902,0.04850
318,-,0.00550,0.00550,0.04901,0.04900,0.04902
319,-,0.00550,0.00550,0.04850,0.04851,0.04900
320,-,0.00600,0.00550,0.04851,0.04800,0.05002
321,-,0.00550,0.00550,0.04800,0.04851,0.04900
322,-,0.00550,0.00550,0.04801,0.04850,0.04851
323,-,0.00600,0.00500,0.04901,0.04850,0.04901
324,-,0.00550,0.00500,0.04800,0.04901,0.05029
325,-,0.00600,0.00547,0.05011,0.04897,0.04901
326,-,0.00550,0.00550,0.04850,0.04851,0.04950
327,-,0.00550,0.00550,0.04951,0.04950,0.04901
328,-,0.00601,0.00550,0.04850,0.04956,0.04950
329,-,0.00550,0.00501,0.05050,0.04901,0.04950
330,-,0.00550,0.00550,0.04901,0.04864,0.04901
331,-,0.00550,0.00550,0.04900,0.04901,0.05250
332,-,0.00650,0.00650,0.05101,0.05151,0.05051
333,-,0.00600,0.00550,0.04850,0.05101,0.04901
334,-,0.00551,0.00500,0.04850,0.04851,0.04900
335,-,0.00550,0.00550,0.04902,0.04900,0.04901
336,-,0.00550,0.00600,0.04850,0.04901,0.04950
337,-,0.00600,0.00551,0.04950,0.04950,0.04851
338,-,0.00600,0.00550,0.04900,0.04951,0.05000
339,-,0.00550,0.00551,0.04851,0.04900,0.05001
340,-,0.00552,0.00548,0.04851,0.04900,0.04823
341,-,0.00550,0.00550,0.04950,0.05001,0.04800
342,-,0.00600,0.00550,0.05102,0.04950,0.04903
343,-,0.00600,0.00500,0.04901,0.04951,0.04850
344,-,0.00600,0.00550,0.04901,0.04900,0.04951
345,-,0.00550,0.00550,0.04801,0.04850,0.04900
346,-,0.00653,0.00548,0.04950,0.04851,0.04950
347,-,0.00550,0.00500,0.04901,0.05000,0.04851
348,-,0.00550,0.00550,0.04900,0.04901,0.04900
349,-,0.00550,0.00601,0.04901,0.04900,0.04951
350,-,0.00550,0.00550,0.04850,0.04951,0.04850
351,-,0.00550,0.00551,0.04850,0.04951,0.04850
352,-,0.00550,0.00550,0.04851,0.04950,0.04901
353,-,0.00550,0.00550,0.04950,0.04901,0.05000
354,-,0.00550,0.00550,0.04851,0.04950,0.04951
355,-,0.00600,0.00500,0.04868,0.04951,0.04950
356,-,0.00551,0.00550,0.04901,0.04900,0.04951
357,-,0.00550,0.00550,0.04901,0.04950,0.05002
358,-,0.00550,0.00550,0.04850,0.04902,0.05000
359,-,0.00550,0.00550,0.04901,0.04850,0.04901
360,-,0.00550,0.00550,0.04850,0.04852,0.04850
361,-,0.00549,0.00550,0.04851,0.04850,0.04952
362,-,0.00600,0.00550,0.04900,0.04901,0.04851
363,-,0.00550,0.00552,0.04901,0.05151,0.05150
364,-,0.00600,0.00550,0.05202,0.05050,0.04851
365,-,0.00600,0.00550,0.05050,0.04901,0.04900
366,-,0.00550,0.00600,0.04794,0.04901,0.04899
367,-,0.00550,0.00550,0.04850,0.04901,0.04900
368,-,0.00600,0.00551,0.04900,0.04900,0.04951
369,-,0.00550,0.00550,0.04902,0.05000,0.04901
370,-,0.00550,0.00600,0.04850,0.04901,0.04950
371,-,0.00600,0.00550,0.04901,0.05000,0.04951
372,-,0.00600,0.00600,0.04900,0.04951,0.05050
373,-,0.00550,0.00550,0.04900,0.05050,0.04801
374,-,0.00550,0.00550,0.04901,0.04940,0.04901
375,-,0.00600,0.00550,0.04900,0.04902,0.05050
376,-,0.00550,0.00550,0.04951,0.04900,0.05001
377,-,0.00550,0.00550,0.04950,0.04901,0.05000
378,-,0.00650,0.00550,0.04901,0.04900,0.05051
379,-,0.00550,0.00550,0.05001,0.04900,0.05001
380,-,0.00600,0.00550,0.04850,0.04951,0.04900
381,-,0.00600,0.00600,0.04951,0.04850,0.04901
382,-,0.00550,0.00550,0.04900,0.04901,0.04900
383,-,0.00550,0.00500,0.04901,0.04850,0.04901
384,-,0.00550,0.00600,0.05051,0.04900,0.04900
385,-,0.00551,0.00550,0.05000,0.04851,0.04950
386,-,0.00550,0.00550,0.04901,0.04900,0.04902
387,-,0.00600,0.00550,0.04950,0.04951,0.04850
388,-,0.00600,0.00551,0.04901,0.04900,0.04901
389,-,0.00550,0.00600,0.04850,0.04901,0.04901
390,-,0.00549,0.00551,0.04900,0.05051,0.04950
391,-,0.00550,0.00550,0.04851,0.04950,0.05001
392,-,0.00550,0.00550,0.04950,0.04901,0.04850
393,-,0.00600,0.00550,0.04951,0.05000,0.04951
394,-,0.00650,0.00550,0.05000,0.05001,0.05051
395,-,0.00600,0.00551,0.05100,0.05351,0.05200
396,-,0.00600,0.00551,0.05000,0.04850,0.05101
397,-,0.00600,0.00600,0.04900,0.04901,0.04950
398,-,0.00550,0.00550,0.04901,0.05000,0.04953
399,-,0.00600,0.00550,0.04951,0.04900,0.04950
400,-,0.00601,0.00600,0.04950,0.04901,0.04850
401,-,0.00600,0.00550,0.04801,0.04900,0.05001
402,-,0.00600,0.00500,0.04900,0.04951,0.04950
403,-,0.00550,0.00501,0.05101,0.04900,0.04851
404,-,0.00550,0.00600,0.04850,0.04901,0.04950
405,-,0.00550,0.00551,0.04900,0.04900,0.04850
406,-,0.00550,0.00600,0.04951,0.04850,0.04901
407,-,0.00550,0.00550,0.04900,0.04901,0.04950
408,-,0.00600,0.00550,0.04901,0.04950,0.04901
409,-,0.00600,0.00550,0.04850,0.05051,0.04901
410,-,0.00600,0.00550,0.04951,0.05000,0.04951
411,-,0.00550,0.00600,0.04951,0.04900,0.04901
412,-,0.00550,0.00550,0.04850,0.05051,0.04950
413,-,0.00550,0.00500,0.04951,0.04950,0.04951
414,-,0.00700,0.00600,0.04950,0.04951,0.05000
415,-,0.00600,0.00501,0.04850,0.04950,0.05051
416,-,0.00600,0.00550,0.04851,0.04900,0.04901
417,-,0.00600,0.00550,0.04900,0.05101,0.05200
418,-,0.00600,0.00550,0.05051,0.04900,0.04951
419,-,0.00600,0.00500,0.04900,0.04951,0.05100
420,-,0.00600,0.00601,0.05050,0.04951,0.04950
421,-,0.00600,0.00600,0.04851,0.04850,0.04951
422,-,0.00650,0.00600,0.05000,0.04902,0.04950
423,-,0.00550,0.00550,0.04851,0.04900,0.04851
424,-,0.00600,0.00552,0.04848,0.04850,0.04800
425,-,0.00600,0.00550,0.04851,0.04851,0.04901
426,-,0.00600,0.00550,0.05002,0.05150,0.05202
427,-,0.00600,0.00650,0.05050,0.04901,0.04900
428,-,0.00600,0.00550,0.04951,0.05000,0.04852
429,-,0.00600,0.00550,0.04950,0.05001,0.04900
430,-,0.00600,0.00554,0.04950,0.04801,0.04901
431,-,0.00650,0.00550,0.04951,0.04950,0.05002
432,-,0.00550,0.00550,0.04900,0.04901,0.04850
433,-,0.00600,0.00500,0.04956,0.04950,0.04951
434,-,0.00550,0.00550,0.04900,0.04853,0.05649
435,-,0.00550,0.00501,0.04850,0.04850,0.04951
436,-,0.00550,0.00600,0.04951,0.04900,0.04901
437,-,0.00600,0.00550,0.04850,0.04951,0.04900
438,-,0.00600,0.00550,0.04851,0.04900,0.04951
439,-,0.00600,0.00500,0.04900,0.04851,0.04900
440,-,0.00551,0.00550,0.04901,0.04950,0.05001
441,-,0.00600,0.00600,0.04901,0.04950,0.04901
442,-,0.00600,0.00550,0.04900,0.04901,0.04950
443,-,0.00550,0.00550,0.04851,0.04900,0.05001
444,-,0.00550,0.00600,0.04850,0.04901,0.04900
445,-,0.00600,0.00550,0.04901,0.04950,0.04851
446,-,0.00600,0.00500,0.04850,0.04951,0.04899
447,-,0.00551,0.00551,0.05000,0.04951,0.04900
448,-,0.00550,0.00550,0.04951,0.04900,0.04952
449,-,0.00500,0.00550,0.04952,0.04901,0.04850
450,-,0.00600,0.00550,0.04801,0.04850,0.04952
451,-,0.00600,0.00550,0.04900,0.05001,0.04950
452,-,0.00600,0.00551,0.04950,0.05001,0.04951
453,-,0.00550,0.00550,0.04901,0.05000,0.05001
454,-,0.00550,0.00600,0.04900,0.04901,0.04950
455,-,0.00600,0.00550,0.04852,0.04950,0.05101
456,-,0.00550,0.00550,0.04950,0.05001,0.04850
457,-,0.00600,0.00500,0.04901,0.05000,0.05201
458,-,0.00600,0.00600,0.05152,0.05050,0.04951
459,-,0.00600,0.00550,0.04800,0.05003,0.05000
460,-,0.00600,0.00550,0.04951,0.04850,0.04902
461,-,0.00551,0.00498,0.04950,0.04851,0.04951
462,-,0.00550,0.00551,0.04850,0.04900,0.05001
463,-,0.00600,0.00550,0.04951,0.04950,0.04851
464,-,0.00600,0.00550,0.04850,0.04952,0.04900
465,-,0.00552,0.00548,0.04952,0.05000,0.04901
466,-,0.00600,0.00550,0.05000,0.05057,0.04912
467,-,0.00600,0.00547,0.04951,0.05000,0.05201
468,-,0.00550,0.00600,0.05151,0.05250,0.05301
469,-,0.00600,0.00600,0.05300,0.05104,0.05198
470,-,0.00600,0.00500,0.04901,0.04950,0.04902
471,-,0.00600,0.00500,0.04951,0.05000,0.04906
472,-,0.00596,0.00550,0.04950,0.05051,0.04950
473,-,0.00600,0.00550,0.04951,0.05050,0.04951
474,-,0.00550,0.00550,0.04850,0.04954,0.04900
475,-,0.00550,0.00650,0.04952,0.04900,0.04901
476,-,0.00550,0.00550,0.04901,0.04850,0.04951
477,-,0.00550,0.00500,0.04800,0.04851,0.04950
478,-,0.00550,0.00550,0.04801,0.04950,0.05101
479,-,0.00550,0.00550,0.04950,0.05001,0.05100
480,-,0.00550,0.00500,0.04901,0.04901,0.04901
481,-,0.00600,0.00500,0.04900,0.05001,0.04801
482,-,0.00601,0.00550,0.04950,0.04901,0.04950
483,-,0.00550,0.00550,0.04951,0.05050,0.04951
484,-,0.00600,0.00600,0.04950,0.04851,0.04950
485,-,0.00600,0.00550,0.05001,0.05000,0.04901
486,-,0.00550,0.00550,0.04952,0.04851,0.04950
487,-,0.00500,0.00601,0.05050,0.04851,0.04900
488,-,0.00550,0.00550,0.04951,0.05000,0.04951
489,-,0.00600,0.00600,0.05050,0.05205,0.05100
490,-,0.00600,0.00550,0.04951,0.04900,0.04951
491,-,0.00600,0.00550,0.04900,0.05051,0.04900
492,-,0.00601,0.00550,0.04950,0.04901,0.04950
493,-,0.00600,0.00550,0.04951,0.04950,0.04851
494,-,0.00550,0.00550,0.04900,0.04851,0.04900
495,-,0.00551,0.00550,0.04901,0.04850,0.04901
496,-,0.00550,0.00550,0.04850,0.04951,0.04950
497,-,0.00550,0.00551,0.04900,0.04951,0.05100
498,-,0.00650,0.00600,0.04901,0.04900,0.04951
499,-,0.00600,0.00550,0.04850,0.04951,0.04900
500,-,0.00600,0.00500,0.04901,0.04950,0.04901
